time;X_value;Y_value;Z_value
0,2722;-0,03352;1,652;9,68006
0,2738;-0,0431;1,64482;9,66569
0,2763;-0,06225;1,62806;9,65851
0,2785;-0,10295;1,59693;9,63936
0,2799;-0,1245;1,59933;9,64175
0,2817;-0,15562;1,59214;9,65611
0,2838;-0,15562;1,59214;9,65133
0,2858;-0,15083;1,58975;9,64414
0,2881;-0,13886;1,59693;9,65611
0,2896;-0,1245;1,59933;9,65851
0,2946;-0,10534;1,62327;9,64654
0,2946;-0,08859;1,63763;9,64175
0,2958;-0,0814;1,66397;9,62499
0,2994;-0,05746;1,68552;9,60105
0,2996;-0,05267;1,69988;9,59147
0,3017;-0,04788;1,70228;9,5795
0,304;-0,05746;1,72143;9,58429
0,3061;-0,05028;1,71904;9,58668
0,3079;-0,0407;1,71425;9,58908
0,3105;-0,03352;1,71425;9,62738
0,3129;-0,03831;1,71425;9,64893
0,3138;-0,0431;1,70467;9,68006
0,316;-0,05028;1,70707;9,704
0,3194;-0,06464;1,68312;9,77104
0,3196;-0,06704;1,6927;9,79258
0,3218;-0,06464;1,68791;9,81653
0,3239;-0,06464;1,67115;9,85483
0,3261;-0,05028;1,67355;9,89793
0,3285;-0,0407;1,67115;9,91708
0,3296;-0,00239;1,67594;9,93145
0,3328;0,01676;1,67594;9,96257
0,3338;0,0407;1,67115;9,96976
0,3359;0,09816;1,69509;9,97694
0,3386;0,13647;1,71664;9,98891
0,3403;0,16041;1,71904;9,98891
0,3416;0,20111;1,72861;9,97694
0,344;0,22266;1,72622;9,96976
0,3459;0,25379;1,7358;9,96497
0,3477;0,26815;1,74537;9,95778
0,3502;0,27294;1,75495;9,95778
0,352;0,30406;1,75974;9,93863
0,3537;0,31843;1,76453;9,92426
0,3559;0,33758;1,7741;9,88835
0,363;0,34955;1,79326;9,87159
0,3631;0,35913;1,79565;9,85962
0,3631;0,36631;1,81241;9,81174
0,3636;0,40462;1,82917;9,76146
0,3656;0,41899;1,83635;9,73991
0,3682;0,42377;1,84832;9,69203
0,3698;0,39983;1,86508;9,64654
0,3716;0,38786;1,88424;9,63217
0,3741;0,39504;1,92015;9,59387
0,3773;0,40462;1,92973;9,58668
0,3787;0,39504;1,95367;9,56514
0,3797;0,38786;1,95846;9,55795
0,3857;0,39265;1,95606;9,55556
0,3857;0,37589;1,95127;9,55556
0,3857;0,36152;1,95127;9,55556
0,3881;0,34955;1,95846;9,56035
0,3897;0,34237;1,9417;9,55077
0,3923;0,31843;1,93212;9,54119
0,3937;0,30406;1,8986;9,52443
0,3956;0,2897;1,87705;9,51007
0,3988;0,27773;1,85311;9,50528
0,3997;0,27054;1,85072;9,50767
0,4038;0,25139;1,81959;9,50528
0,4038;0,25139;1,81959;9,4981
0,4058;0,23703;1,84114;9,50528
0,4076;0,2059;1,83635;9,55077
0,41;0,21069;1,83875;9,55795
0,4121;0,21548;1,81959;9,56992
0,4135;0,20351;1,82199;9,58429
0,4158;0,17957;1,79805;9,61063
0,4194;0,17478;1,78847;9,64175
0,4196;0,1652;1,79086;9,6609
0,4217;0,16281;1,78368;9,71597
0,4239;0,15802;1,77889;9,75428
0,4255;0,15562;1,7765;9,77822
0,4283;0,14126;1,76692;9,8261
0,4298;0,11971;1,74537;9,88596
0,4316;0,11013;1,71185;9,92187
0,4334;0,08619;1,70228;9,97215
0,4359;0,0838;1,70228;10,00088
0,439;0,0814;1,65918;10,06313
0,44;0,07901;1,6496;10,06313
0,4416;0,08859;1,64721;10,07031
0,4435;0,09816;1,63524;10,07271
0,4456;0,07901;1,64482;10,04876
0,4479;0,05986;1,63285;10,02722
0,45;0,05028;1,61609;9,9937
0,4522;0,04549;1,59693;9,96736
0,4545;0,03591;1,59693;9,89793
0,4559;0,05507;1,60412;9,83568
0,459;0,07661;1,62806;9,7878
0,4597;0,0838;1,63763;9,76864
0,4616;0,10774;1,66397;9,73034
0,4636;0,1245;1,69031;9,71358
0,4657;0,14605;1,71664;9,68245
0,4677;0,17478;1,75495;9,65851
0,4696;0,18675;1,77171;9,64654
0,472;0,2083;1,78607;9,6202
0,4739;0,21548;1,79805;9,61541
0,4761;0,23942;1,80762;9,61302
0,4793;0,25618;1,80283;9,62499
0,4801;0,26576;1,80044;9,62499
0,4822;0,28012;1,80523;9,61302
0,4844;0,2897;1,80762;9,6226
0,4858;0,28012;1,80523;9,63217
0,4878;0,26576;1,82199;9,63936
0,4898;0,27294;1,82199;9,63936
0,4926;0,27294;1,80044;9,64893
0,4937;0,26576;1,79326;9,66809
0,4963;0,26576;1,79326;9,66809
0,4988;0,23463;1,78129;9,66569
0,5004;0,23463;1,7765;9,6633
0,5016;0,23224;1,7765;9,65133
0,5036;0,21787;1,7765;9,65851
0,5055;0,22745;1,77889;9,6633
0,5079;0,22745;1,78368;9,6633
0,5125;0,22984;1,79565;9,61541
0,5125;0,23463;1,80283;9,59865
0,5139;0,24181;1,79805;9,55795
0,5155;0,23942;1,79805;9,53401
0,5185;0,25857;1,79805;9,4957
0,5202;0,25857;1,80044;9,48134
0,5222;0,23224;1,79805;9,455
0,5237;0,24421;1,79565;9,43824
0,5256;0,28491;1,81241;9,4143
0,5276;0,29449;1,82438;9,41909
0,5296;0,30167;1,83396;9,41669
0,5323;0,34477;1,86987;9,43824
0,5335;0,36392;1,88424;9,44303
0,5355;0,39025;1,88424;9,4574
0,5393;0,39983;1,88424;9,47416
0,5402;0,41659;1,88663;9,47655
0,5421;0,43335;1,90818;9,48852
0,5437;0,44772;1,92254;9,48613
0,5455;0,44053;1,91297;9,47894
0,5476;0,43574;1,90339;9,45979
0,5505;0,44053;1,89621;9,45261
0,5522;0,42856;1,88903;9,45261
0,5537;0,41899;1,87945;9,4143
0,5559;0,4118;1,87466;9,40233
0,559;0,41899;1,86508;9,34966
0,5602;0,40701;1,86987;9,35684
0,5622;0,40462;1,86748;9,36402
0,5643;0,39504;1,85551;9,35205
0,5659;0,37828;1,86508;9,34008
0,5683;0,37589;1,86748;9,34008
0,5696;0,37828;1,86987;9,35445
0,5718;0,3711;1,87466;9,35205
0,5744;0,36871;1,87945;9,36163
0,576;0,38307;1,88663;9,36881
0,5784;0,39504;1,88663;9,39515
0,5797;0,39504;1,87227;9,40233
0,582;0,39983;1,86029;9,42627
0,5839;0,38307;1,86748;9,44543
0,5859;0,39265;1,86269;9,46697
0,5879;0,39265;1,87705;9,52443
0,5897;0,39025;1,87945;9,54119
0,5939;0,40941;1,87466;9,57232
0,5942;0,4118;1,87466;9,60344
0,5956;0,42617;1,88663;9,65372
0,5992;0,43335;1,901;9,67527
0,6;0,41659;1,90578;9,7016
0,6019;0,39983;1,91057;9,75188
0,6045;0,36152;1,90578;9,79258
0,6065;0,33758;1,8986;9,81413
0,6097;0,31125;1,8579;9,84765
0,6097;0,27773;1,84832;9,88835
0,6132;0,25139;1,84114;9,9099
0,6141;0,22266;1,8172;9,94342
0,6159;0,21069;1,79805;9,95539
0,6193;0,16759;1,74298;9,98173
0,6199;0,14605;1,73819;9,98651
0,6217;0,14844;1,71904;9,98651
0,6252;0,15323;1,69988;10,00088
0,6258;0,12929;1,68791;10,00567
0,6296;0,1245;1,68552;10,00567
0,6297;0,11253;1,68073;10,00088
0,6334;0,11732;1,68312;9,98173
0,6348;0,13886;1,66636;9,95539
0,636;0,13886;1,67115;9,94581
0,639;0,11492;1,68073;9,92426
0,6401;0,10774;1,67834;9,91229
0,6422;0,11013;1,67834;9,88117
0,6444;0,10056;1,67355;9,8692
0,6461;0,10295;1,67115;9,83568
0,6482;0,10774;1,67355;9,82131
0,6503;0,11971;1,67355;9,80934
0,6522;0,13408;1,69031;9,7854
0,6536;0,13647;1,68552;9,7854
0,6563;0,16281;1,70467;9,7878
0,6591;0,1652;1,70946;9,76864
0,6602;0,16281;1,71185;9,77104
0,6621;0,16999;1,7334;9,74709
0,6661;0,17238;1,74058;9,73752
0,6661;0,17478;1,74537;9,73752
0,6684;0,17717;1,75016;9,72076
0,6702;0,15802;1,76213;9,71836
0,672;0,14126;1,7358;9,69682
0,6748;0,11013;1,74058;9,68006
0,6765;0,1221;1,72383;9,67287
0,6797;0,1245;1,70707;9,62978
0,6798;0,1221;1,70707;9,61781
0,6831;0,1245;1,69749;9,61063
0,6844;0,10295;1,69749;9,5795
0,687;0,11492;1,71185;9,57471
0,6878;0,1245;1,71664;9,56514
0,6897;0,1221;1,70467;9,56274
0,6921;0,1221;1,69749;9,56274
0,6945;0,13408;1,70707;9,54598
0,6964;0,12929;1,71185;9,52683
0,6989;0,13886;1,72622;9,51965
0,7002;0,13647;1,74058;9,50767
0,7029;0,13886;1,76932;9,48613
0,7043;0,13647;1,77171;9,48373
0,706;0,11492;1,76932;9,4981
0,7079;0,12689;1,7765;9,50289
0,7105;0,12689;1,78847;9,50767
0,713;0,1245;1,79086;9,4957
0,7146;0,1221;1,79805;9,4957
0,7165;0,11253;1,79326;9,52204
0,7194;0,11732;1,79086;9,55556
0,7209;0,11971;1,79086;9,57711
0,7227;0,13408;1,80523;9,58429
0,7239;0,12689;1,80283;9,61063
0,7258;0,1245;1,80283;9,62738
0,7282;0,13408;1,7765;9,63936
0,73;0,14365;1,75974;9,63457
0,7331;0,16759;1,74537;9,63457
0,7349;0,16759;1,72622;9,64175
0,7371;0,16999;1,70946;9,64893
0,7392;0,18196;1,70467;9,65611
0,7407;0,18196;1,69749;9,65611
0,7467;0,18914;1,69031;9,63696
0,7467;0,21069;1,68312;9,62499
0,7467;0,18675;1,67834;9,62978
0,7485;0,17957;1,68791;9,61781
0,7506;0,17478;1,69509;9,59865
0,7532;0,17478;1,70228;9,59865
0,7541;0,19154;1,71904;9,5795
0,7559;0,21308;1,74058;9,54119
0,7599;0,23942;1,75734;9,52443
0,7599;0,25618;1,76932;9,51486
0,7625;0,30646;1,77171;9,50528
0,7645;0,31603;1,78129;9,4957
0,7666;0,33519;1,78847;9,4981
0,7683;0,34237;1,78129;9,49091
0,7703;0,36631;1,7765;9,47894
0,7722;0,39025;1,76932;9,46697
0,7738;0,39744;1,76692;9,44303
0,7755;0,4118;1,76932;9,44064
0,7784;0,44532;1,78368;9,44543
0,7802;0,45969;1,78368;9,43106
0,7825;0,49321;1,8148;9,40951
0,7841;0,51954;1,83156;9,40712
0,7863;0,55306;1,83875;9,39993
0,7888;0,6177;1,85311;9,39036
0,7911;0,64883;1,86748;9,38318
0,7917;0,71108;1,91297;9,37599
0,7935;0,7853;1,98;9,38557
0,7965;0,81163;2,00874;9,39515
0,7997;0,86431;2,07098;9,42148
0,8006;0,85952;2,08535;9,43585
0,8018;0,85712;2,09732;9,4574
0,8039;0,84036;2,11408;9,50049
0,8055;0,79009;2,11887;9,52922
0,8076;0,74939;2,13802;9,5795
0,8103;0,66559;2,13084;9,64654
0,8126;0,63207;2,11408;9,7016
0,8145;0,53391;2,08774;9,78061
0,8163;0,45969;2,03747;9,83089
0,8191;0,34477;1,96085;9,85723
0,8202;0,29688;1,92733;9,87878
0,8222;0,23942;1,88184;9,90511
0,8242;0,11971;1,76692;9,95539
0,8264;0,00718;1,68791;9,98891
0,8283;-0,03831;1,64242;10,01046
0,8305;-0,13647;1,56581;10,06792
0,8325;-0,21548;1,49638;10,11341
0,8342;-0,26097;1,47483;10,13496
0,8363;-0,30167;1,4437;10,18284
0,8395;-0,32561;1,41497;10,21157
0,8432;-0,33279;1,39343;10,21396
