time;X_value;Y_value;Z_value
0,3127;0,96965;2,08056;9,39754
0,3127;0,96726;2,0662;9,37839
0,3136;0,97683;2,0662;9,37839
0,318;0,9912;2,07577;9,39275
0,3181;1,00078;2,09971;9,43824
0,3202;1,00317;2,15957;9,48613
0,3212;0,98402;2,19069;9,51965
0,3235;0,87628;2,28886;9,64654
0,3255;0,80206;2,35111;9,74949
0,3271;0,63925;2,44927;10,01525
0,332;0,1652;2,60729;10,45817
0,332;0,1652;2,60729;10,45817
0,3352;0,05028;2,63841;10,51563
0,3352;-0,05028;2,66475;10,55633
0,3371;-0,23224;2,70784;10,62098
0,3402;-0,4118;2,75094;10,6545
0,3415;-0,49321;2,77009;10,65929
0,3436;-0,61052;2,81798;10,68323
0,3455;-0,64883;2,8898;10,64731
0,3474;-0,59855;2,94966;10,59225
0,3522;-0,07901;3,29682;10,23312
0,3522;-0,07901;3,29682;10,23312
0,3529;0,05986;3,35667;10,12777
0,3552;0,2873;3,3878;9,96018
0,357;0,35195;3,36864;9,89553
0,3597;0,47166;3,14119;9,73512
0,3611;0,4956;3,055;9,67287
0,3632;0,51475;2,95923;9,61781
0,3655;0,50996;2,78685;9,51725
0,3673;0,52912;2,63602;9,43824
0,3725;0,577;2,40138;9,34487
0,3725;0,58897;2,34153;9,31135
0,3731;0,58897;2,34153;9,31135
0,3756;0,60094;2,21224;9,25149
0,3775;0,62249;2,11408;9,21558
0,3799;0,65841;2,04225;9,20601
0,3816;0,68953;2,00634;9,18685
0,3833;0,75657;1,92973;9,14376
0,3852;0,79248;1,901;9,127
0,3879;0,90261;1,84354;9,08151
0,3922;1,06303;1,74298;9,06714
0,3922;1,06303;1,74298;9,06714
0,393;1,09654;1,71664;9,06475
0,3957;1,12049;1,6927;9,05756
0,3975;1,16358;1,65679;9,02165
0,4009;1,18274;1,59214;8,99771
0,4012;1,1995;1,56341;8,99053
0,4033;1,25696;1,50116;9,0432
0,4059;1,28808;1,48919;9,09108
0,4075;1,34315;1,45089;9,13897
0,4128;1,45089;1,44131;9,3329
0,4128;1,45089;1,44131;9,3329
0,4135;1,47483;1,45567;9,36642
0,4155;1,48201;1,46525;9,48852
0,4174;1,46525;1,48201;9,55556
0,4203;1,34075;1,50356;9,65372
0,4212;1,15879;1,50116;9,73034
0,4235;1,05345;1,52511;9,77582
0,4254;0,8667;1,60651;9,73512
0,4272;0,78769;1,68073;9,69203
0,4323;0,4118;2,0662;9,3736
0,4328;0,4118;2,0662;9,3736
0,4333;0,28012;2,13323;9,26107
0,4362;-0,05028;2,20745;9,11024
0,4372;-0,46926;2,18351;9,127
0,4399;-0,94571;2,0638;9,28262
0,4411;-1,17555;1,98719;9,3712
0,4434;-1,34075;1,96325;9,39275
0,4458;-1,42455;2,0662;9,39036
0,4476;-1,57538;2,00395;9,70879
0,4532;-1,98;1,80523;9,953
0,4532;-2,09493;1,77171;9,97694
0,4532;-2,20267;1,74058;10,00088
0,4559;-2,30801;1,6927;10,05355
0,4574;-2,43011;1,53468;10,17326
0,46;-2,31998;1,46046;10,16129
0,461;-2,15718;1,47962;10,1182
0,4631;-1,63763;1,59693;10,04398
0,4651;-1,32878;1,69749;10,02243
0,4678;-0,72065;1,91057;10,01764
0,4721;0,07901;2,27689;10,16847
0,4721;0,07901;2,27689;10,16847
0,4734;0,26576;2,32956;10,19002
0,4759;0,40701;2,36547;10,22115
0,4772;0,65362;2,38462;10,20678
0,4801;0,86191;2,36547;10,18763
0,4811;0,95529;2,31998;10,17087
0,4836;1,06781;2,20745;10,09665
0,4853;1,12049;2,09014;10,01764
0,4874;1,14443;2,02549;9,95778
0,4925;1,09894;1,75974;9,61781
0,4925;1,09894;1,75974;9,61781
0,4944;1,07739;1,69749;9,52922
0,4953;1,01275;1,58496;9,36163
0,4971;0,94571;1,54665;9,27304
0,5002;0,77572;1,41497;9,03602
0,501;0,75417;1,39343;8,9594
0,5035;0,75417;1,37667;8,86842
0,5053;0,79487;1,35991;8,69365
0,5073;0,7853;1,3216;8,51169
0,5133;0,63207;1,22344;8,27466
0,5133;0,55067;1,1971;8,2172
0,5134;0,55067;1,1971;8,2172
0,5153;0,35674;1,14682;8,10707
0,5194;0,13408;1,08218;8,0089
0,5199;-0,06225;1,04627;7,98257
0,5212;-0,14365;1,05105;7,98257
0,5234;-0,26576;1,10133;7,9706
0,5252;-0,32082;1,13246;7,9682
0,5272;-0,48363;1,1995;7,98496
0,533;-0,64165;1,38624;8,08552
0,5331;-0,64165;1,38624;8,08552
0,5331;-0,63686;1,43413;8,12383
0,5362;-0,6608;1,47962;8,1741
0,537;-0,66798;1,56341;8,2579
0,5403;-0,60573;1,64721;8,30818
0,5411;-0,57461;1,67594;8,3417
0,5442;-0,50996;1,71904;8,4255
0,5453;-0,50996;1,72861;8,48056
0,5473;-0,55306;1,70946;8,58591
0,5522;-0,62968;1,64721;8,82293
0,5522;-0,62968;1,64721;8,82293
0,5536;-0,65362;1,6113;8,88039
0,5552;-0,72544;1,51792;9,0025
0,557;-0,75657;1,48201;9,05756
0,5598;-0,826;1,41258;9,15333
0,5612;-0,88107;1,36948;9,20122
0,5634;-0,89783;1,29526;9,31135
0,5652;-0,89064;1,25935;9,39036
0,5702;-0,86431;1,24977;9,4143
0,5728;-0,84755;1,23301;9,52922
0,5728;-0,84755;1,23301;9,52922
0,5729;-0,84755;1,23301;9,55077
0,5754;-0,89304;1,23541;9,6226
0,5774;-0,97444;1,25935;9,69921
0,5805;-1,00078;1,29047;9,72555
0,5817;-1,00078;1,32639;9,73273
0,5832;-0,96486;1,36948;9,73752
0,5863;-0,93374;1,46046;9,73991
0,5873;-0,95768;1,51553;9,73752
0,5922;-1,09176;1,56102;9,76864
0,5922;-1,15161;1,56102;9,78061
0,593;-1,20428;1,5682;9,78061
0,5954;-1,24977;1,57299;9,77104
0,5972;-1,35751;1,57778;9,74709
0,6007;-1,46765;1,59214;9,7016
0,601;-1,52032;1,60412;9,67048
0,6033;-1,61609;1,60651;9,61063
0,6055;-1,66158;1,6089;9,57471
0,6072;-1,72861;1,62327;9,51007
0,6132;-1,77889;1,60651;9,3712
0,6132;-1,77889;1,60651;9,3712
0,6139;-1,76692;1,60651;9,34726
0,6159;-1,74777;1,59933;9,3329
0,6175;-1,69031;1,59933;9,30177
0,6202;-1,6089;1,60651;9,25628
0,6209;-1,55623;1,6089;9,22516
0,623;-1,46046;1,59214;9,18925
0,6273;-1,38864;1,58975;9,17009
0,6273;-1,33118;1,5682;9,16051
0,6322;-1,22344;1,45089;9,04799
0,6322;-1,22344;1,45089;9,04799
0,633;-1,22104;1,41497;9,02165
0,6353;-1,22104;1,35272;8,9618
0,6372;-1,20428;1,30723;8,92588
0,64;-1,21865;1,16837;8,79899
0,641;-1,25217;1,11809;8,76308
0,643;-1,28569;1,0726;8,71759
0,6453;-1,41976;1,00556;8,64097
0,6474;-1,59214;0,93853;8,58591
0,6522;-1,8986;0,88825;8,49971
0,6523;-2,0231;0,88107;8,47817
0,6529;-2,0231;0,88107;8,47817
0,6556;-2,24097;0,86431;8,41831
0,6573;-2,48279;0,87867;8,26508
0,6599;-2,80361;0,92656;7,99454
0,661;-2,96881;0,93613;7,87962
0,6633;-3,27766;0,96726;7,67132
0,6657;-3,43089;0,9912;7,56837
0,668;-3,70144;1,08697;7,3912
0,6727;-4,23534;1,26653;7,1422
0,6727;-4,23534;1,26653;7,1422
0,6737;-4,35505;1,31442;7,13741
0,6756;-4,46519;1,36469;7,1446
0,6777;-4,61123;1,43652;7,20445
0,68;-4,69742;1,51074;7,32656
0,6811;-4,73094;1,53468;7,39838
0,6834;-4,83629;1,54665;7,56119
0,6857;-4,88657;1,55144;7,64738
0,6877;-4,9539;1,53468;7,82934
0,693;-5,05206;1,4868;8,10946
0,693;-5,05206;1,4868;8,10946
0,6931;-5,06404;1,47004;8,16932
0,6953;-5,09037;1,43652;8,28424
0,6975;-5,11431;1,41497;8,32733
