time;X_value;Y_value;Z_value
0,0168;-4,51546;-1,83875;8,21002
0,0168;-4,45082;-1,77889;8,1741
0,0168;-4,39575;-1,70467;8,13819
0,0168;-4,26407;-1,59693;8,05439
0,0168;-4,13239;-1,45807;7,95144
0,0168;-3,98395;-1,3216;7,82934
0,0168;-3,90734;-1,25696;7,76709
0,0206;-3,58891;-0,9912;7,56119
0,0206;-3,58891;-0,9912;7,56119
0,0207;-3,5099;-0,94332;7,52528
0,0241;-3,35188;-0,84276;7,48697
0,0241;-3,27527;-0,79487;7,48218
0,0262;-3,11246;-0,69192;7,50612
0,0279;-3,02867;-0,65601;7,52049
0,0299;-2,85389;-0,58179;7,58274
0,0325;-2,68151;-0,46208;7,68329
0,0339;-2,59771;-0,41659;7,7647
0,0385;-2,37505;-0,17957;8,26987
0,0386;-2,37505;-0,17957;8,26987
0,0417;-2,33914;-0,1221;8,41352
0,0432;-2,30083;0,01915;8,71519
0,044;-2,31759;0,06704;8,8373
0,046;-2,38941;0,18435;9,02165
0,0479;-2,52828;0,26336;9,09587
0,05;-2,6025;0,30646;9,09827
0,0526;-2,79403;0,35195;9,09108
0,0541;-2,99515;0,36392;9,05517
0,0589;-3,28245;0,29209;8,83969
0,0589;-3,28245;0,29209;8,83969
0,0599;-3,36146;0,25139;8,78223
0,063;-3,53145;0,09816;8,62661
0,0643;-3,56497;0,03591;8,57633
0,066;-3,60806;-0,03591;8,53323
0,0683;-3,68707;-0,20351;8,4638
0,07;-3,75171;-0,36392;8,43507
0,073;-3,84988;-0,52912;8,4231
0,0743;-3,88579;-0,59616;8,41831
0,079;-4,02705;-0,78769;8,44225
0,079;-4,07733;-0,78769;8,44225
0,0799;-4,12521;-0,8667;8,49253
0,083;-4,19943;-0,92177;8,52366
0,0842;-4,24013;-0,93134;8,54999
0,0864;-4,33351;-0,97444;8,59309
0,0885;-4,38139;-1,02472;8,58591
0,0915;-4,47716;-1,1157;8,56436
0,0932;-4,54419;-1,22583;8,57154
0,0955;-4,57532;-1,27132;8,58591
0,0992;-4,61841;-1,39582;8,68167
0,11;-4,61841;-1,39582;8,68167
0,11;-4,6232;-1,41976;8,71041
0,11;-4,61123;-1,4461;8,77505
0,11;-4,60644;-1,45807;8,82054
0,11;-4,60644;-1,46046;8,90912
0,11;-4,60405;-1,45807;8,9594
0,1101;-4,56574;-1,44849;9,06235
0,1128;-4,50349;-1,41497;9,16291
0,114;-4,4604;-1,39582;9,21558
0,1191;-4,29999;-1,2785;9,41191
0,1191;-4,29999;-1,2785;9,41191
0,1202;-4,25689;-1,24738;9,46218
0,123;-4,16831;-1,16119;9,56992
0,1262;-4,05578;-1,11091;9,6226
0,1263;-4,00071;-1,01754;9,75188
0,1284;-3,85945;-0,92895;9,85483
0,1306;-3,7972;-0,88346;9,90511
0,1333;-3,58891;-0,75178;10,05595
0,1342;-3,51469;-0,7039;10,10144
0,1394;-3,24893;-0,59376;10,24509
0,1395;-3,24893;-0,54348;10,24509
0,14;-3,18429;-0,49799;10,27861
0,1448;-3,08613;-0,43096;10,32889
0,1467;-3,03585;-0,39025;10,34564
0,1467;-2,98796;-0,33758;10,35043
0,1488;-2,91374;-0,28012;10,35522
0,1506;-2,86347;-0,22027;10,36001
0,153;-2,81798;-0,18435;10,35522
0,1544;-2,80361;-0,16281;10,36001
0,1601;-2,7653;-0,11013;10,35522
0,1601;-2,7653;-0,10774;10,35043
0,1601;-2,75573;-0,10774;10,32649
0,164;-2,71742;-0,10056;10,28818
0,1642;-2,71502;-0,08619;10,27621
0,1664;-2,71024;-0,09577;10,26903
0,1683;-2,70305;-0,10774;10,27382
0,1705;-2,69348;-0,12929;10,25467
0,1733;-2,67672;-0,13647;10,23791
0,1743;-2,66235;-0,15562;10,21636
0,1793;-2,6408;-0,18914;10,08468
0,1793;-2,6408;-0,18914;10,08468
0,1803;-2,62883;-0,20351;10,04158
0,1832;-2,65278;-0,23703;9,96497
0,1842;-2,66235;-0,2466;9,92187
0,1874;-2,68629;-0,27054;9,8285
0,1879;-2,71981;-0,29928;9,73991
0,1902;-2,75573;-0,32082;9,70639
0,1928;-2,79882;-0,3304;9,61781
0,1942;-2,82037;-0,31843;9,57471
0,1991;-2,8491;-0,2083;9,3736
0,1991;-2,8491;-0,2083;9,3736
0,2003;-2,8491;-0,17957;9,31374
0,2029;-2,88262;-0,09098;9,16291
0,2041;-2,90417;-0,05746;9,12221
0,2062;-2,92332;-0,03112;9,09108
0,2081;-2,95444;0,00958;9,06954
0,2107;-2,98796;0,0407;9,07432
0,2158;-3,04303;0,10534;9,10545
0,2158;-3,06458;0,12929;9,13178
0,2201;-3,15316;0,22505;9,2922
0,2201;-3,18668;0,25857;9,34726
0,2201;-3,21541;0,27773;9,40951
0,2248;-3,24175;0,31843;9,53401
0,2254;-3,26809;0,34237;9,60105
0,227;-3,28724;0,36631;9,74709
0,2286;-3,30639;0,37589;9,8285
0,2338;-3,3016;0,43096;10,01525
0,2339;-3,22738;0,46926;10,16129
0,2343;-3,18189;0,49081;10,2403
0,2434;-3,01669;0,5363;10,52282
0,2434;-3,01669;0,5363;10,52282
0,2434;-2,96402;0,54348;10,57549
0,2434;-2,85389;0,51475;10,65929
0,2445;-2,81319;0,47645;10,67365
0,249;-2,72939;0,38547;10,64731
0,2491;-2,68629;0,29688;10,58267
0,2504;-2,65038;-0,13647;10,23072
0,2526;-2,66475;-0,86431;9,53162
0,2539;-2,66714;-1,12288;9,26347
0,2594;-2,57616;-1,32639;8,70562
0,2594;-2,57616;-1,32639;8,70562
0,2601;-2,50194;-1,26893;8,60506
0,2628;-2,38223;-1,04387;8,44944
0,2638;-2,3128;-0,90501;8,42071
0,2671;-2,31998;-0,56024;8,53802
0,2687;-2,35589;-0,19393;8,80617
0,2715;-2,39181;-0,03112;8,96658
0,2726;-2,44927;0,39504;9,43345
0,2747;-2,45406;0,51715;9,55795
0,2803;-2,43011;0,77572;9,79737
0,2803;-2,43011;0,77572;9,79737
0,2803;-2,41336;0,82839;9,85244
0,2842;-2,34632;0,96486;9,88117
0,2844;-2,3128;0,98881;9,88596
0,2874;-2,29365;1,01035;9,89075
0,2949;-2,21464;1,0343;9,9099
0,2949;-2,12605;1,05345;9,90751
0,2949;-2,03747;1,02472;9,89314
0,295;-2,00634;1,00317;9,87878
0,2993;-1,94888;0,89543;9,85005
0,2993;-1,94888;0,84515;9,85005
0,3002;-1,95367;0,79487;9,84765
0,303;-2,01113;0,72065;9,85962
0,3038;-2,03268;0,67756;9,85723
0,3074;-2,05662;0,56982;9,82131
0,3084;-2,07577;0,51475;9,7854
0,3102;-2,09014;0,42377;9,67048
0,3131;-2,12126;0,38547;9,51965
0,3166;-2,13563;0,37828;9,43345
0,3195;-2,21942;0,38068;9,09108
0,3195;-2,21942;0,38068;9,09108
0,3208;-2,2314;0,38547;9,01686
0,3231;-2,2697;0,41659;8,88997
0,3245;-2,29604;0,44053;8,86363
0,326;-2,33674;0,47884;8,86603
0,3278;-2,33914;0,50518;8,89955
0,3319;-2,32238;0,51715;8,92588
0,3328;-2,27928;0,55067;8,95222
0,3341;-2,24576;0,57221;8,97616
0,3398;-2,02789;0,65601;8,98574
0,3398;-2,02789;0,65601;8,98574
0,3398;-1,97282;0,67995;8,96419
0,3433;-1,78847;0,75896;8,92828
0,3447;-1,73101;0,77333;8,90194
0,3462;-1,67115;0,79487;8,86124
0,348;-1,60172;0,84515;8,77505
0,3499;-1,56581;0,85712;8,74392
0,3526;-1,55144;0,91698;8,74632
0,3539;-1,55863;0,94092;8,76068
0,36;-1,57778;1,00078;8,83969
0,36;-1,58736;1,02232;8,87082
0,36;-1,58736;1,05345;8,89236
0,3634;-1,57299;1,08697;8,93546
0,364;-1,5706;1,09654;8,94743
0,3665;-1,56581;1,10133;8,97856
0,368;-1,55863;1,10373;8,98334
0,3714;-1,54665;1,09654;8,9594
0,3727;-1,52271;1,08218;8,92109
0,3744;-1,50356;1,075;8,89715
0,3796;-1,43173;1,04866;8,77744
0,3796;-1,43173;1,04866;8,77744
0,38;-1,41258;1,04866;8,74871
0,3834;-1,3623;1,05105;8,68886
0,3841;-1,34794;1,05345;8,66492
0,3863;-1,35033;1,0726;8,64816
0,3895;-1,33596;1,0726;8,64576
0,3902;-1,32639;1,07978;8,67449
0,3929;-1,32639;1,09654;8,70801
0,3939;-1,32399;1,10852;8,72716
0,3987;-1,31442;1,1995;8,81336
0,3988;-1,31442;1,1995;8,81336
0,3999;-1,31442;1,20428;8,84209
0,4027;-1,30723;1,21147;8,93546
0,404;-1,31202;1,21386;8,99531
0,4061;-1,34315;1,23541;9,17967
0,408;-1,36709;1,20668;9,36642
0,4107;-1,38624;1,19471;9,45979
0,4131;-1,403;1,16837;9,68963
0,4144;-1,39582;1,15401;9,7447
0,4191;-1,37906;1,09894;9,85962
0,4191;-1,37906;1,09894;9,85962
0,42;-1,37188;1,06781;9,85483
0,4229;-1,37427;1,01275;9,83568
0,4245;-1,37906;1,00078;9,81653
0,4265;-1,39103;0,98402;9,7878
0,4285;-1,4054;0,94332;9,73273
0,4305;-1,4054;0,91219;9,7016
0,4331;-1,42934;0,88107;9,704
0,4343;-1,42934;0,86431;9,71597
0,4391;-1,43173;0,85234;9,76625
0,4391;-1,43173;0,85234;9,76625
0,4404;-1,42694;0,84994;9,78301
0,4428;-1,41018;0,83079;9,80216
0,4442;-1,41258;0,84036;9,81413
0,4465;-1,41258;0,84755;9,80934
0,4486;-1,41737;0,84036;9,80695
0,4504;-1,42216;0,83079;9,7878
0,4533;-1,42934;0,85234;9,73273
0,4546;-1,42455;0,85473;9,7016
0,4605;-1,46046;0,90261;9,54598
0,4605;-1,46046;0,90261;9,54598
0,4606;-1,46525;0,92416;9,50289
0,4634;-1,48201;0,93853;9,41909
0,4645;-1,48441;0,93613;9,38557
0,4665;-1,48919;0,93853;9,30656
0,4692;-1,48441;0,93374;9,22995
0,4708;-1,48919;0,93853;9,18925
0,4729;-1,50595;0,94332;9,12939
0,4748;-1,51553;0,95289;9,11024
0,4792;-1,49877;0,98881;9,03602
0,4798;-1,49877;0,98881;9,03602
0,4799;-1,4868;0,99599;9,03362
0,4829;-1,48441;1,01514;9,06235
0,4851;-1,48919;1,01754;9,07911
0,4876;-1,48201;1,01993;9,10545
0,4883;-1,47962;1,05105;9,16291
0,4901;-1,48441;1,06303;9,19164
0,4934;-1,47962;1,07021;9,32572
0,4947;-1,47722;1,08697;9,38557
0,5008;-1,42216;1,10133;9,63936
0,5008;-1,42216;1,10852;9,63936
0,5008;-1,40061;1,1133;9,69921
0,5027;-1,37188;1,1157;9,80695
0,5041;-1,36469;1,11091;9,85483
0,5059;-1,35272;1,09415;9,93145
0,5091;-1,35512;1,07978;9,97454
0,5119;-1,35033;1,08218;10,00567
